出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
0.522,1,25,16777215,1630633437,0,ec01c331,5.43E+16,1,电宝！！！
0.539,1,25,15138834,1630593376,0,1e4fbd19,5.43E+16,1,我们是冠军！我们是冠军！
0.542,5,25,15138834,1630590437,0,b27511d,5.43E+16,10,《独一档》
0.545,1,25,16777215,1630593566,0,ad340774,5.43E+16,1,我们是冠军
0.573,1,25,16777215,1630593404,0,6cfe27b0,5.43E+16,10,凤 1 7 随
0.574,1,25,16777215,1630636275,0,c766a1c9,5.43E+16,0,争取带个八强回来
0.582,1,25,16777215,1630665845,0,7688daf3,5.43E+16,1,银龙重铸之日，骑士归来之时！
0.602,1,25,16777215,1630593602,0,2f71f8ae,5.43E+16,1,异地鸡赢了，完蛋
0.602,1,25,16777215,1630592582,0,99e611b4,5.43E+16,1,我要吹一年
0.619,1,25,16777215,1630590929,0,c4467fab,5.43E+16,1,发财
0.619,1,25,16777215,1630580900,0,197a567,5.43E+16,1,2比0了。。。
0.627,5,25,16707842,1630645652,0,3c14eb8e,5.43E+16,1,我们就是冠军！！！
0.637,1,25,16777215,1630727732,0,8513531d,5.43E+16,1,银龙重铸之日，骑士归来之时
0.682,1,25,16777215,1630668198,0,9d85dca2,5.43E+16,1,edg内战幻神
0.682,1,25,16777215,1630590011,0,38bf73ee,5.43E+16,1,舒服
0.683,5,25,15138834,1630589581,0,1958187b,5.43E+16,1,恭喜EDG
0.699,1,25,16777215,1630593265,0,f17ede83,5.43E+16,0,mid gap
0.704,1,25,16777215,1630585087,0,eebcab30,5.43E+16,0,3：1了
0.722,5,25,6830715,1630589422,0,2.89E+60,5.43E+16,10,我曾经相信科学
0.768,5,25,16646914,1630772521,0,2e2b5d44,5.44E+16,1,巴黎人集合！！！！！
0.779,1,25,16777215,1630599617,0,c040eb39,5.43E+16,10,凤一其随
0.788,5,25,16707842,1630590708,0,3b17dfb6,5.43E+16,1,淀粉们，把《话语权》打在公屏上！！
0.802,1,25,16777215,1630591133,0,d64f0352,5.43E+16,7,过年啦
0.819,1,25,16777215,1630672781,0,a22e7477,5.43E+16,1,寄！
0.829,1,25,16777215,1630590318,0,488e8e2a,5.43E+16,0,恭喜韩国队
0.83,5,25,15138834,1630591213,0,f1bbb608,5.43E+16,1,属于我们的！我们全都要夺回来！
0.83,5,25,15138834,1630583237,0,e8312a29,5.43E+16,1,春决重演
0.847,5,25,16755202,1630590228,0,9e7d745f,5.43E+16,0,恭喜圣枪哥！！！！恭喜圣枪哥！！！！恭喜圣枪哥！！！！
0.852,5,25,15138834,1630722360,0,a8dea01c,5.43E+16,1,EDG是冠军！
0.862,1,25,16777215,1630640383,0,d1f85daa,5.43E+16,0,我先来，舒…奥，不是RNG啊，那没事了，FPX世界赛加油
0.863,1,25,16777215,1630752213,0,9900c66a,5.43E+16,0,八强十六强三十二强，一年更比一年强！
0.873,5,25,6830715,1630604192,0,4132f17b,5.43E+16,1,我要争一口气，不是想证明我有多么了不起，而是要告诉别人，我失去的东西我一定要拿回来。
0.888,5,25,16776960,1630590244,0,7a10d947,5.43E+16,0,恭喜EDG!!!
0.914,1,25,16777215,1630591064,0,3a6ca7f,5.43E+16,1,整活时间呢
0.94,1,25,16777215,1630596924,0,1.51E+09,5.43E+16,10,欢迎回来！
0.942,1,25,16777215,1630596406,0,a4adca27,5.43E+16,1,合影留念
0.943,5,25,16777215,1630594142,0,6a1ea48a,5.43E+16,10,银龙重铸之日，骑士归来之时
0.949,1,25,16777215,1630596941,0,1.51E+09,5.43E+16,1,你争气了！
0.972,5,25,9033215,1630591194,0,2a7f6a2,5.43E+16,1,淀粉，揭棺而起
0.979,1,25,16777215,1630578389,0,bd705b2f,5.43E+16,1,空降11:49
0.986,5,25,16646914,1630772538,0,2e2b5d44,5.44E+16,1,巴黎人集合！！！！
0.999,1,25,16777215,1630599965,0,8513531d,5.43E+16,1,我们是冠军！！！
1.043,1,25,16777215,1630594344,0,ae3ab0c,5.43E+16,0,我们是冠军！！！！！！！！！！！！
1.073,1,25,16777215,1630589430,0,c1394786,5.43E+16,9,恭喜EDG！！！！！！！
1.086,1,25,15138834,1630593167,0,bec61c11,5.43E+16,1,兄弟们，哭了吗，我哭了，太久了！
1.102,1,25,16777215,1630600068,0,de2bc33f,5.43E+16,9,独一档
1.102,1,25,16777215,1630590958,0,d614c752,5.43E+16,1,握草！没想到！
1.139,1,25,16777215,1630592828,0,456a976f,5.43E+16,7,我们是冠军！
1.142,1,25,16777215,1630590022,0,38bf73ee,5.43E+16,1,开心
1.201,1,25,16777215,1630599282,0,d773f507,5.43E+16,1,EDG牛逼
1.22,1,25,16777215,1630591301,0,8f5f9b10,5.43E+16,1,啊？fpx又是老二
1.224,1,25,16777215,1630752158,0,e4cfe71,5.43E+16,7,7
1.257,5,25,16777215,1630599544,0,e4dc5e95,5.43E+16,1,淀粉们，过年了！
1.259,1,25,16777215,1630590850,0,28f5d56a,5.43E+16,1,我们是冠军！！！！
1.262,1,25,16777215,1630589483,0,4606a958,5.43E+16,1,春季赛亚军加夏季赛亚军，我竟然想到了18年的ig
1.262,4,25,15138834,1630595574,0,f407e0ac,5.43E+16,0,过年了！
1.299,1,25,16777215,1630589406,0,92d4b6f9,5.43E+16,10,《凤遇七碎》
1.299,1,25,16777215,1630591516,0,448f16da,5.43E+16,7,我们是冠军！
1.319,1,25,16777215,1630589839,0,29ffbf1b,5.43E+16,1,E DG 牛逼
1.341,1,25,16777215,1630589869,0,5c22ef97,5.43E+16,1,我们是冠军
1.362,5,25,8700107,1630591628,0,a1af7b49,5.43E+16,1,《 凤 一 7 three 》
1.402,1,25,16777215,1630591215,0,96c265a8,5.43E+16,10,恭喜圣枪哥！
1.419,1,25,16777215,1630590183,0,f0294043,5.43E+16,0,硬送，输的活该
1.427,1,25,16777215,1630658070,0,865b9e18,5.43E+16,1,Fpx输在了没有基纽特战队的buff
1.443,1,25,16777215,1630578383,0,ba306442,5.43E+16,1,表演赛开始啦
1.513,1,25,16777215,1630590286,0,41ef1be5,5.43E+16,1,FPX拿到了18年iG的剧本
1.522,5,25,15138834,1630591414,0,536faa3f,5.43E+16,9,空降11：55
1.554,1,25,16777215,1630591937,0,403b18a0,5.43E+16,9,恭喜EDG！
1.556,5,25,16707842,1630600877,0,4132f17b,5.43E+16,1,我是要告诉别人，我失去的东西我一定要拿回来
1.582,1,25,16777215,1630605703,0,986d7910,5.43E+16,1,我们是冠军!
1.619,1,25,15772458,1630636147,0,b12cb132,5.43E+16,1,EDG冠军？？？
1.622,1,25,16777215,1630590853,0,654a8b00,5.43E+16,1,我们是冠军！
1.622,1,25,16777215,1630578381,0,f525bb50,5.43E+16,1,7:00
1.654,1,25,16777215,1630580967,0,eebcab30,5.43E+16,0,3：0了
1.682,5,25,15138834,1630637570,0,90023cd1,5.43E+16,10,我失去的东西，一定要拿回来！！
1.702,1,25,16777215,1630590141,0,5675ccf5,5.43E+16,10,断剑重铸之日，骑士归来之时！
1.702,1,25,16777215,1630759664,0,5aa6d331,5.44E+16,1,空降12：06
1.739,5,25,15138834,1630590298,0,2da8c2e6,5.43E+16,1,恭喜EDG
1.742,1,25,16777215,1630592764,0,a90d3634,5.43E+16,0,舒服啦
1.743,1,25,16777215,1630590480,0,d6eec045,5.43E+16,1,EDG！！！我的超人！！！
1.768,1,25,16777215,1630591132,0,de6c7013,5.43E+16,1,恭喜EDG！银龙重铸之日，骑士归来之时！
1.819,1,25,16777215,1630589536,0,7f43c9a7,5.43E+16,1,赢了！！！
1.822,1,25,16777215,1630592307,0,a12c43ce,5.43E+16,1,我们是冠军！！！
1.839,1,25,16777215,1630591023,0,d98a9e13,5.43E+16,8,？？？？？
1.854,1,25,16777215,1630600778,0,7170676d,5.43E+16,1,皮肤选寡妇！
1.854,1,25,16777215,1630589494,0,f285a2ab,5.43E+16,1,恭喜edg
1.855,1,25,16777215,1630590389,0,b5fdf01f,5.43E+16,1,edg冠军！！！
1.875,1,25,16777215,1630639329,0,460431f2,5.43E+16,1,恭喜圣枪哥
1.879,1,25,16777215,1630679345,0,112123ed,5.43E+16,1,决赛播放量好低
1.882,1,25,15138834,1630590441,0,b27511d,5.43E+16,1,确实独一档，春夏两亚军哈哈哈
1.898,5,25,16646914,1630591829,0,d552b320,5.43E+16,1,我们是冠军！！！
1.917,1,25,16777215,1630589371,0,975a5302,5.43E+16,1,恭喜edg！！
1.939,1,25,16777215,1630592923,0,9e5cdd55,5.43E+16,1,我们是冠军！！！
1.939,1,25,16777215,1630664895,0,5acd5f5d,5.43E+16,0,舒服啦
2.021,5,25,15138834,1630589701,0,c70c6572,5.43E+16,1,恭喜EDG！！！
