出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
1491.748,1,25,16777215,1630854043,0,348b73a7,5.44016E+16,10,帅
1710.713,1,25,16777215,1630851381,0,faa6e14,5.44002E+16,10,布隆盾特效满分
2421.902,1,25,16777215,1630840009,0,c8d0ecb3,5.43943E+16,10,漂亮哈哈哈哈哈
2661.09,1,25,16777215,1630836783,0,a17d8e09,5.43926E+16,10,edg牛呀
2957.374,1,25,16777215,1630825542,0,fc43c6e6,5.43867E+16,10,帅
2201.649,1,25,16777215,1630822884,0,ec920543,5.43853E+16,10,超人天
2152.753,1,25,16777215,1630822828,0,ec920543,5.43852E+16,10,天是真的强啊
1439.141,1,25,16777215,1630822322,0,243e9a83,5.4385E+16,10,666
1420.488,1,25,16777215,1630822253,0,a2a4abee,5.43849E+16,10,1111111
1440.99,1,25,16777215,1630822146,0,305a3ddf,5.43849E+16,10,厉害啊
2962.245,1,25,16777215,1630821505,0,cbd6a0ff,5.43846E+16,10,3478
876.06,1,25,16777215,1630815128,0,14002083,5.43812E+16,10,圣枪哥出招牌英雄啊
2363.405,1,25,16777215,1630814947,0,fb21e2e1,5.43811E+16,10,这次比赛，上方的进度条就很灵性
982.633,1,25,16777215,1630813629,0,5066cd8d,5.43804E+16,10,梦幻开局
600.683,1,25,16777215,1630812247,0,dce74783,5.43797E+16,10,圣枪哥yyds
1446.292,1,25,16777215,1630810126,0,95294fc2,5.43786E+16,10,jiejie！
2491.877,1,25,16777215,1630808838,0,b7d86d9a,5.43779E+16,10,三年以来最好的一把
195.831,1,25,16777215,1630808483,0,95294fc2,5.43777E+16,10,我曾经相信科学
175.391,1,25,16777215,1630808457,0,95294fc2,5.43777E+16,10,感谢大校发威
1012.001,1,25,16777215,1630808397,0,b7d86d9a,5.43777E+16,10,枪宝第一把圣枪 泪目
2284.86,1,25,16777215,1630800530,0,fd22fcc3,5.43736E+16,10,圣枪哥一人五千伤害
2466.754,1,25,16777215,1630800129,0,ef6dfbc6,5.43733E+16,10,红牌罚下!
11.999,1,25,16777215,1630776664,0,8ae0900d,5.4361E+16,10,凤一其随
1140.522,1,25,16777215,1630773279,0,e9d28b2,5.43593E+16,10,4眼泪
1411.169,1,25,16777215,1630771109,0,e552bee1,5.43581E+16,10,淀粉聚集地啊→_→
2769.822,1,25,16777215,1630770896,0,977e1388,5.4358E+16,10,帅
1881.605,1,25,16777215,1630770728,0,88b4060,5.43579E+16,10,拉满了
2489.777,1,25,16707842,1630770687,0,c32bd5fa,5.43579E+16,10,出乎意料
2467.138,1,25,16777215,1630770616,0,2067f472,5.43579E+16,10,好开心啊圣枪哥
2465.431,1,25,16777215,1630770609,0,2067f472,5.43579E+16,10,帅！！！
129.555,1,25,16777215,1630770212,0,5c49847d,5.43577E+16,10,今年是edg建队第7年
1420.545,1,25,16707842,1630769395,0,c32bd5fa,5.43572E+16,10,777
1422.732,1,25,16777215,1630769100,0,97dd2286,5.43571E+16,10,1
2266.526,1,25,16777215,1630767785,0,792f6ea7,5.43564E+16,10,大招刚好
2276.086,1,25,16777215,1630767748,0,792f6ea7,5.43564E+16,10,66666666
205.603,1,25,16777215,1630766657,0,34b472e6,5.43558E+16,10,我曾经相信科学
1814.452,1,25,16777215,1630766617,0,2e4a353f,5.43558E+16,10,回看永远都是
845.687,1,25,16777215,1630766323,0,cd10e37,5.43556E+16,10,真正的淀粉只看重播
2288.805,1,25,16777215,1630764659,0,76f07ebb,5.43548E+16,10,卢仙伤害拉满
2557.72,1,25,16777215,1630763562,0,c7a61e98,5.43542E+16,10,初代牌王
2378.752,1,25,16777215,1630763558,0,8729ee51,5.43542E+16,10,大校试图作法
2267.019,1,25,16777215,1630763134,0,fae2ecb4,5.4354E+16,10,卧槽，jiejie！
377.343,1,25,16743873,1630761918,0,f8a48e29,5.43533E+16,10,看到李多多的卡牌我都快心脏骤停了
26.64,5,25,16743873,1630761173,0,f8a48e29,5.43529E+16,10,刘青松 好帅（
1491.278,1,25,16777215,1630761120,0,99bbaaed,5.43529E+16,10,哇
323.679,1,25,16777215,1630760835,0,5377c451,5.43527E+16,10,迪迦哥的圣枪光来了
2472.918,1,25,16777215,1630760043,0,75fbfac3,5.43523E+16,10,哇靠好厉害啊
724.587,1,25,16777215,1630759806,0,c8d0ecb3,5.43522E+16,10,导播站起来了
2297.003,1,25,16777215,1630759190,0,3cde3e99,5.43519E+16,10,四人赏金
650.626,1,25,16777215,1630759049,0,11aefb75,5.43518E+16,10,奖励一把卢仙儿！！
