出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
2347.654,1,25,16777215,1630858599,0,f8a42fb6,5.4404E+16,10,哈哈哈
2809.487,1,25,16777215,1630855793,0,d8f48d99,5.44025E+16,10,第四局见
1984.324,1,25,16777215,1630854392,0,29ccd169,5.44018E+16,10,满血不回家
2444.247,1,25,16777215,1630854003,0,5496534c,5.44016E+16,10,ad助攻
2438.155,1,25,16777215,1630849964,0,bd56a308,5.43995E+16,10,这里的瑞兹太厉害了
1350.782,1,25,16777215,1630845125,0,d194b649,5.43969E+16,10,勇敢牛牛
771.707,1,25,16777215,1630841266,0,314502ab,5.43949E+16,10,我最喜欢的金克斯！！！
2813.068,1,25,16777215,1630839547,0,a64423bb,5.4394E+16,10,哈哈哈哈哈
1872.702,1,25,16777215,1630838596,0,a64423bb,5.43935E+16,10,1
2534.293,1,25,16777215,1630837489,0,bb07582c,5.43929E+16,10,edg的ad10个助攻，打成了辅助哈哈哈哈
2801.08,1,25,16777215,1630837146,0,a17d8e09,5.43928E+16,10,牛哇牛哇
2756.838,1,25,16777215,1630837127,0,d908f33b,5.43927E+16,10,小天确实猛
775.441,1,25,16777215,1630837007,0,a17d8e09,5.43927E+16,10,游戏结束
772.967,1,25,16777215,1630837001,0,a17d8e09,5.43927E+16,10,游戏结束
770.919,1,25,16777215,1630836995,0,a17d8e09,5.43927E+16,10,游戏结束
1511.154,1,25,16777215,1630834547,0,949e0818,5.43914E+16,10,完美
2333.167,1,25,16777215,1630831332,0,1699fcbc,5.43897E+16,10,大聪明 哈哈哈哈哈哈哈哈哈
1695.795,1,25,16777215,1630830604,0,1699fcbc,5.43893E+16,10,汽车人x2
1480.423,5,25,16776960,1630829095,0,f8a48e29,5.43885E+16,10,“你们今天谁打辅助？”
2807.104,1,25,16777215,1630827288,0,551ab690,5.43876E+16,10,(⊙o⊙)哇
