出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
2924.62,1,25,16777215,1630859946,0,721da8a6,5.44047E+16,10,6666
1721.243,1,25,16777215,1630856146,0,14002083,5.44027E+16,10,是圣枪哥跳早了一点点
2284.42,1,25,16777215,1630854059,0,bb07582c,5.44016E+16,10,26血
2755.684,1,25,16777215,1630852562,0,dc205827,5.44008E+16,10,1
246.062,1,25,16777215,1630851722,0,9305fc96,5.44004E+16,10,心疼圣枪哥！！！
1936.229,1,25,16777215,1630846346,0,5dfeeae5,5.43976E+16,10,哈哈哈哈
2879.805,1,25,16777215,1630829911,0,f8d3f8a2,5.4389E+16,10,反击从此开始
2768.114,5,25,16646914,1630829755,0,c1d88c9a,5.43889E+16,10,神降下了他的神谕
2449.357,1,25,16777215,1630824259,0,bbd04723,5.4386E+16,10,言出法随
254.998,1,25,16777215,1630820992,0,b1e50d0b,5.43843E+16,10,泪目
1594.734,1,25,16777215,1630818534,0,94c8647d,5.4383E+16,10,00.
2757.318,1,25,16777215,1630809805,0,97866300,5.43784E+16,10,1
520.516,1,25,16777215,1630806789,0,b0324ad0,5.43768E+16,10,大校试图发功，救FPX
294.093,1,25,16777215,1630805332,0,ae8c20f9,5.43761E+16,10,同求
1505.388,1,25,16777215,1630773301,0,4511f4e9,5.43593E+16,10,应该是凯南吧
3012.733,1,25,16777215,1630773233,0,41605fce,5.43592E+16,10,标准通天带
3244.832,1,25,16777215,1630773063,0,8f5d40c,5.43592E+16,10,从发功开始
2930.906,1,25,16777215,1630772432,0,ac0fad4c,5.43588E+16,10,我曾经相信科学
2859.151,1,25,16777215,1630772334,0,ac0fad4c,5.43588E+16,10,大聪明
2783.033,1,25,16777215,1630772249,0,ac0fad4c,5.43587E+16,10,奇异博士
2644.947,1,25,16777215,1630772106,0,ac0fad4c,5.43587E+16,10,如数家珍
2086.219,1,25,16777215,1630771509,0,ac0fad4c,5.43583E+16,10,言出法随
2014.625,1,25,16777215,1630771433,0,ac0fad4c,5.43583E+16,10,大校发功了
1938.817,1,25,16777215,1630771310,0,ac0fad4c,5.43582E+16,10,猝不及防
1994.093,1,25,16777215,1630771070,0,e7b102f4,5.43581E+16,10,EDG状态是真的好
1502.9,1,25,16777215,1630770871,0,ac0fad4c,5.4358E+16,10,啊～
3262.032,1,25,16777215,1630770394,0,6c9c7ab9,5.43578E+16,10,从大校发功开始
2147.19,1,25,16777215,1630769431,0,5a1df915,5.43573E+16,10,哈哈哈哈
1990.774,1,25,16777215,1630769271,0,5a1df915,5.43572E+16,10,好看呐
1575.498,1,25,16777215,1630769055,0,1d8ab2f4,5.43571E+16,10,我爱大校
2018.552,1,25,16777215,1630768844,0,6c9c7ab9,5.43569E+16,10,大校施法成功
3198.666,1,25,16777215,1630768711,0,bffb1d3,5.43569E+16,10,真的好看
2983.518,1,25,16777215,1630768539,0,bffb1d3,5.43568E+16,10,jiejie:我做错了什么
1167.38,1,25,16777215,1630768444,0,5a1df915,5.43567E+16,10,哈哈哈
3339.558,1,25,16777215,1630767821,0,812cdb2,5.43564E+16,10,说的对
2070.87,1,25,16777215,1630760393,0,b9819455,5.43525E+16,10,大校甚至话音未落
281.487,1,25,16777215,1630759670,0,2e202b26,5.43521E+16,10,不留遗憾
